"Country_Region","Date","Case_Count","days_since_100"
"Austria",2020-01-22,0,-46
"Austria",2020-01-23,0,-45
"Austria",2020-01-24,0,-44
"Austria",2020-01-25,0,-43
"Austria",2020-01-26,0,-42
"Austria",2020-01-27,0,-41
"Austria",2020-01-28,0,-40
"Austria",2020-01-29,0,-39
"Austria",2020-01-30,0,-38
"Austria",2020-01-31,0,-37
"Austria",2020-02-01,0,-36
"Austria",2020-02-02,0,-35
"Austria",2020-02-03,0,-34
"Austria",2020-02-04,0,-33
"Austria",2020-02-05,0,-32
"Austria",2020-02-06,0,-31
"Austria",2020-02-07,0,-30
"Austria",2020-02-08,0,-29
"Austria",2020-02-09,0,-28
"Austria",2020-02-10,0,-27
"Austria",2020-02-11,0,-26
"Austria",2020-02-12,0,-25
"Austria",2020-02-13,0,-24
"Austria",2020-02-14,0,-23
"Austria",2020-02-15,0,-22
"Austria",2020-02-16,0,-21
"Austria",2020-02-17,0,-20
"Austria",2020-02-18,0,-19
"Austria",2020-02-19,0,-18
"Austria",2020-02-20,0,-17
"Austria",2020-02-21,0,-16
"Austria",2020-02-22,0,-15
"Austria",2020-02-23,0,-14
"Austria",2020-02-24,0,-13
"Austria",2020-02-25,2,-12
"Austria",2020-02-26,2,-11
"Austria",2020-02-27,3,-10
"Austria",2020-02-28,3,-9
"Austria",2020-02-29,9,-8
"Austria",2020-03-01,14,-7
"Austria",2020-03-02,18,-6
"Austria",2020-03-03,21,-5
"Austria",2020-03-04,29,-4
"Austria",2020-03-05,41,-3
"Austria",2020-03-06,55,-2
"Austria",2020-03-07,79,-1
"Austria",2020-03-08,104,0
"Austria",2020-03-09,131,1
"Austria",2020-03-10,182,2
"Bahrain",2020-01-22,0,-48
"Bahrain",2020-01-23,0,-47
"Bahrain",2020-01-24,0,-46
"Bahrain",2020-01-25,0,-45
"Bahrain",2020-01-26,0,-44
"Bahrain",2020-01-27,0,-43
"Bahrain",2020-01-28,0,-42
"Bahrain",2020-01-29,0,-41
"Bahrain",2020-01-30,0,-40
"Bahrain",2020-01-31,0,-39
"Bahrain",2020-02-01,0,-38
"Bahrain",2020-02-02,0,-37
"Bahrain",2020-02-03,0,-36
"Bahrain",2020-02-04,0,-35
"Bahrain",2020-02-05,0,-34
"Bahrain",2020-02-06,0,-33
"Bahrain",2020-02-07,0,-32
"Bahrain",2020-02-08,0,-31
"Bahrain",2020-02-09,0,-30
"Bahrain",2020-02-10,0,-29
"Bahrain",2020-02-11,0,-28
"Bahrain",2020-02-12,0,-27
"Bahrain",2020-02-13,0,-26
"Bahrain",2020-02-14,0,-25
"Bahrain",2020-02-15,0,-24
"Bahrain",2020-02-16,0,-23
"Bahrain",2020-02-17,0,-22
"Bahrain",2020-02-18,0,-21
"Bahrain",2020-02-19,0,-20
"Bahrain",2020-02-20,0,-19
"Bahrain",2020-02-21,0,-18
"Bahrain",2020-02-22,0,-17
"Bahrain",2020-02-23,0,-16
"Bahrain",2020-02-24,1,-15
"Bahrain",2020-02-25,23,-14
"Bahrain",2020-02-26,33,-13
"Bahrain",2020-02-27,33,-12
"Bahrain",2020-02-28,36,-11
"Bahrain",2020-02-29,41,-10
"Bahrain",2020-03-01,47,-9
"Bahrain",2020-03-02,49,-8
"Bahrain",2020-03-03,49,-7
"Bahrain",2020-03-04,52,-6
"Bahrain",2020-03-05,55,-5
"Bahrain",2020-03-06,60,-4
"Bahrain",2020-03-07,85,-3
"Bahrain",2020-03-08,85,-2
"Bahrain",2020-03-09,95,-1
"Bahrain",2020-03-10,110,0
"Belgium",2020-01-22,0,-44
"Belgium",2020-01-23,0,-43
