id,viral_load,virus,family,day
1_A_I_1,0.122655802,I,A_1,16/02/17
1_A_M_1,-1.679103939,M,A_1,17/01/17
1_A_M_2,-2.468214863,M,A_1,26/01/17
1_D_M_1,-2.284980887,M,D_1,01/02/17
1_G_I_1,0.923475065,I,G_1,19/01/17
1_H_I_1,0.463389123,I,H_1,25/01/17
1_I_I_1,1.112521195,I,I_1,25/01/17
1_N_M_1,0.670323101,M,N_1,21/03/17
1_Y_I_1,2.605146241,I,Y_1,04/04/17
10_A_M_1,-1.189488956,M,A_10,12/01/17
10_A_M_2,-2.006845241,M,A_10,17/01/17
10_C_M_1,-1.557754916,M,C_10,26/01/17
10_F_A_1,-1.400334321,A,F_10,18/01/17
10_G_A_1,-0.538806312,A,G_10,02/02/17
10_I_I_1,4.853223471,I,I_10,09/02/17
10_I_I_2,2.109623471,I,I_10,09/02/17
10_I_M_1,-1.13960174,M,I_10,14/02/17
10_K_A_1,-2.321437392,A,K_10,28/02/17
10_K_A_2,-0.181106292,A,K_10,09/03/17
10_K_I_1,0.005092632,I,K_10,07/03/17
10_M_A_1,-0.185933101,A,M_10,22/03/17
10_M_I_1,2.567337245,I,M_10,15/03/17
10_M_I_2,2.567025065,I,M_10,23/03/17
10_N_A_1,0.982962608,A,N_10,28/02/17
10_O_M_1,-0.539929106,M,O_10,08/03/17
10_O_M_2,-0.320129106,M,O_10,08/03/17
10_Q_M_1,-1.311480887,M,Q_10,14/03/17
10_T_A_1,-0.790886528,A,T_10,22/03/17
10_T_A_2,0.092063472,A,T_10,22/03/17
10_U_A_1,-1.025720232,A,U_10,28/03/17
10_U_A_2,-0.507170232,A,U_10,28/03/17
10_U_I_1,0.613878102,I,U_10,23/03/17
10_U_I_2,0.331178102,I,U_10,23/03/17
10_V_A_1,-4.042382204,A,V_10,04/04/17
10_V_A_2,-4.113982204,A,V_10,04/04/17
10_V_M_1,-2.685681639,M,V_10,12/04/17
10_Z_M_1,-2.405133211,M,Z_10,12/04/17
10_Z_M_2,-0.262233211,M,Z_10,12/04/17
11_A_M_2,0.127804759,M,A_11,17/01/17
11_B_M_1,-1.449133211,M,B_11,17/01/17
11_C_M_1,0.460307292,M,C_11,12/01/17
11_C_M_2,0.300366789,M,C_11,17/01/17
11_H_I_1,2.633493708,I,H_11,31/01/17
11_H_I_2,3.156773471,I,H_11,09/02/17
11_H_M_1,-1.08150174,M,H_11,14/02/17
11_M_M_1,0.346273101,M,M_11,21/03/17
11_N_M_1,-0.342015746,M,N_11,14/03/17
11_P_A_1,0.039053782,A,P_11,09/03/17
11_R_M_1,-1.70575261,M,R_11,21/03/17
11_R_M_2,-2.68770261,M,R_11,21/03/17
11_R_M_3,-2.183815939,M,R_11,29/03/17
11_S_A_1,2.187863472,A,S_11,22/03/17
11_T_A_1,0.765521658,A,T_11,16/03/17
11_T_A_2,0.342021658,A,T_11,16/03/17
11_T_M_1,-1.387270232,M,T_11,21/03/17
11_T_M_2,-0.647670232,M,T_11,21/03/17
11_U_A_1,0.300123471,A,U_11,28/03/17
11_U_A_2,-1.730684362,A,U_11,28/03/17
12_A_M_1,0.341654759,M,A_12,17/01/17
12_C_M_1,0.435607292,M,C_12,12/01/17
12_D_A_1,-2.151156312,A,D_12,07/02/17
12_D_M_1,-1.585730887,M,D_12,01/02/17
12_D_M_2,-2.362880887,M,D_12,01/02/17
12_I_I_1,-1.154056292,I,I_12,31/01/17
12_K_A_1,-0.710410438,A,K_12,22/02/17
12_K_A_2,-0.326460438,A,K_12,22/02/17
12_U_A_1,-0.056634362,A,U_12,28/03/17
12_U_A_2,-1.078826529,A,U_12,28/03/17
12_U_I_1,0.280425211,I,U_12,04/04/17
12_U_I_2,-0.619961269,I,U_12,04/04/17
12_V_A_1,1.601039077,A,V_12,22/03/17
12_V_A_2,3.181796269,A,V_12,22/03/17
12_X_A_1,0.942923471,A,X_12,28/03/17
12_Y_M_1,-4.573231639,M,Y_12,12/04/17
