id,viral_load,virus,family,day
102Fx131M_I_1,0.733953599,I,102Fx131M,02/09/16
102Fx131M_O_1,-9.655988898,O,102Fx131M,24/08/16
102Fx131M_O_2,-9.740622754,O,102Fx131M,31/08/16
102Fx168M_M_1,-10.09041673,M,102Fx168M,25/08/16
102Fx168M_M_2,-9.024550184,M,102Fx168M,01/09/16
102Fx168M_O_1,-10.35852637,O,102Fx168M,24/08/16
102Fx168M_O_2,-10.63765482,O,102Fx168M,31/08/16
103Fx16M_M_1,-10.64854226,M,103Fx16M,16/08/16
103Fx16M_O_1,-9.644747239,O,103Fx16M,10/08/16
103Fx16M_O_2,-10.33325189,O,103Fx16M,17/08/16
103Fx174M_M_1,-10.60622,M,103Fx174M,13/09/16
104Fx16M_M_1,-10.72876684,M,104Fx16M,16/08/16
104Fx16M_M_1,-10.72876684,M,104Fx16M,16/08/16
104Fx16M_M_3,-10.62091518,M,104Fx16M,16/08/16
104Fx16M_O_1,-10.52416006,O,104Fx16M,10/08/16
104Fx16M_O_2,-8.518126926,O,104Fx16M,10/08/16
104Fx176M_O_1,-12.71333299,O,104Fx176M,07/09/16
104Fx176M_O_2,-11.07544603,O,104Fx176M,07/09/16
104Fx211M_I_1,0.36953064,I,104Fx211M,08/09/16
104Fx211M_I_2,0.071668726,I,104Fx211M,15/09/16
104Fx60M_M_1,-10.85013595,M,104Fx60M,16/08/16
104Fx60M_M_2,-8.103695926,M,104Fx60M,16/08/16
104Fx60M_O_1,-10.57107794,O,104Fx60M,10/08/16
104Fx60M_O_2,-9.714277317,O,104Fx60M,10/08/16
106Fx107M_M_2,-9.782403156,M,106Fx107M,13/09/16
106Fx122M_M_1,-11.11130963,M,106Fx122M,16/08/16
106Fx122M_M_2,-8.696765218,M,106Fx122M,25/08/16
106Fx123M_M_1,-10.23306615,M,106Fx123M,16/08/16
106Fx123M_O_1,-9.107283306,O,106Fx123M,10/08/16
106Fx123M_O_2,-10.12163708,O,106Fx123M,17/08/16
106Fx132M_I_1,0.215333224,I,106Fx132M,02/09/16
106Fx132M_M_1,-9.537964784,M,106Fx132M,16/08/16
106Fx132M_M_2,-9.310507627,M,106Fx132M,25/08/16
106Fx132M_O_1,-9.785554905,O,106Fx132M,24/08/16
106Fx132M_O_2,-10.48897671,O,106Fx132M,31/08/16
