id,viral_load,virus,family,day
A10_1_1_A,-6.31046908,A,A10_1,25
A10_6_1_A,-3.20301489,A,A10_6,25
A10_6_1_M,-6.92560689,M,A10_6,25
A10_25_1_A,-4.90149988,A,A10_25,25
A10_14_1_A,-3.78881908,A,A10_14,25
A10_10_1_A,-4.80101489,A,A10_10,25
A10_10_1_M,-6.04121489,M,A10_10,25
A10_7_1_A,-6.01711908,A,A10_7,25
A10_7_1_M,-7.28953388,M,A10_7,25
A10_5_1_A,-5.57314988,A,A10_5,25
A10_18_1_A,-4.97698388,A,A10_18,25
A10_13_1_A,-4.99289988,A,A10_13,25
A10_13_1_M,-7.76020441,M,A10_13,25
A10_9_1_A,-5.88014988,A,A10_9,25
A10_9_1_M,-9.06565441,M,A10_9,25
A10_5_1_M,-7.72730441,M,A10_5,25
A10_18_1_M,-8.35955441,M,A10_18,25
A10_25_1_M,-6.57595689,M,A10_25,25
A10_14_1_M,-6.32483388,M,A10_14,25
A10_9_4_A,-5.70945274,A,A10_9,28
A10_6_4_A,-4.51984192,A,A10_6,28
A10_10_4_A,-5.42479192,A,A10_10,28
A10_7_4_A,-5.99579192,A,A10_7,28
A10_14_4_A,-5.17645274,A,A10_14,28
A10_14_4_O,-9.48739515,O,A10_14,28
A10_18_4_A,-5.49469192,A,A10_18,28
A10_18_4_O,-8.49601484,O,A10_18,28
A10_13_4_A,-6.87892176,A,A10_13,28
A10_1_4_A,-4.97929192,A,A10_1,28
A10_9_4_O,-7.97281792,O,A10_9,28
A10_6_4_O,-8.40849515,O,A10_6,28
A10_25_4_A,-4.42294192,A,A10_25,28
A10_25_4_O,-8.27451484,O,A10_25,28
A10_5_4_A,-5.83652176,A,A10_5,28
A10_5_4_O,-7.92421484,O,A10_5,28
A10_10_4_O,-8.27291792,O,A10_10,28
A10_7_4_O,-9.45819515,O,A10_7,28
A10_13_4_O,-10.26536484,O,A10_13,28
A10_1_4_O,-9.20034515,O,A10_1,28
A10_5_5_M,-8.87362759,M,A10_5,29
A10_18_5_M,-7.32587575,M,A10_18,29
A10_25_5_M,-6.49647575,M,A10_25,29
A10_14_5_M,-4.24954623,M,A10_14,29
A10_1_5_M,-10.25044623,M,A10_1,29
A10_1_5_O,-6.47151868,O,A10_1,29
A10_6_5_M,-5.80817575,M,A10_6,29
A10_6_5_O,-8.11996868,O,A10_6,29
A10_25_5_O,-7.16686792,O,A10_25,29
A10_14_5_O,-6.97536868,O,A10_14,29
A10_10_5_M,-4.63727575,M,A10_10,29
A10_10_5_O,-6.62311792,O,A10_10,29
A10_7_5_M,-7.23559623,M,A10_7,29
A10_7_5_O,-8.32716792,O,A10_7,29
A10_5_5_O,-8.11541868,O,A10_5,29
A10_18_5_O,-9.0619198,O,A10_18,29
A10_13_5_M,-7.80977575,M,A10_13,29
A10_13_5_O,-7.8165198,O,A10_13,29
A10_9_5_M,-7.76272759,M,A10_9,29
A10_9_5_O,-8.2348698,O,A10_9,29
A11_1_1_A,-5.08244487,A,A11_1,28
A11_1_1_M,-7.15945046,M,A11_1,28
A11_3_1_A,-5.52938192,A,A11_3,28
A11_3_1_M,-7.03375046,M,A11_3,28
A11_23_1_A,-4.71532759,A,A11_23,28
A11_2_1_A,-7.14073192,A,A11_2,28
A11_11_1_A,-4.76234487,A,A11_11,28
A11_11_1_M,-6.89175496,M,A11_11,28
A11_5_1_A,-4.93834487,A,A11_5,28
A11_5_1_M,-6.98525496,M,A11_5,28
A11_24_1_A,-5.08127759,A,A11_24,28
A11_22_1_A,-6.87168192,A,A11_22,28
A11_15_1_A,-5.57198192,A,A11_15,28
A11_15_1_M,-7.65365496,M,A11_15,28
A11_6_1_A,-4.80734487,A,A11_6,28
A11_6_1_M,-6.07017494,M,A11_6,28
