id,viral_load,virus,family,day
1_E_A_1,-4.387038094,A,E_1,29/06/17
1_F_A_1,-6.95535806,A,F_1,06/07/17
1_F_O_1,5.51356265,O,F_1,14/06/17
1_F_O_2,6.847175728,O,F_1,06/07/17
1_H_M_1,-4.129391691,M,H_1,21/06/17
1_I_M_1,-3.773095635,M,I_1,30/06/17
1_I_M_2,-5.430071388,M,I_1,12/07/17
1_I_O_1,-3.24560979,O,I_1,21/06/17
1_I_O_2,-3.863656566,O,I_1,01/07/17
1_J_A_1,-5.865780385,A,J_1,29/06/17
1_J_A_2,-5.190365345,A,J_1,29/06/17
1_J_M_1,-5.488369495,M,J_1,30/06/17
1_J_M_2,-3.613970111,M,J_1,06/07/17
1_J_M_3,-3.623037382,M,J_1,06/07/17
1_J_O_1,-5.374410196,O,J_1,01/07/17
1_J_O_2,-2.888876939,O,J_1,01/07/17
10_B_A_1,-6.980160744,A,B_10,07/06/17
10_B_A_2,-5.699288394,A,B_10,07/06/17
10_B_O_1,-3.41286233,O,B_10,30/05/17
10_B_O_2,-3.000856918,O,B_10,07/06/17
10_C_M_1,-5.075126213,M,C_10,30/06/17
10_C_M_2,-5.526504065,M,C_10,20/07/17
10_D_A_1,-6.476850063,A,D_10,21/06/17
10_D_A_2,-5.968429123,A,D_10,29/06/17
10_D_M_1,-7.687916316,M,D_10,07/06/17
10_D_M_2,-7.090600057,M,D_10,14/06/17
10_D_M_3,-3.999542758,M,D_10,30/06/17
10_H_A_2,-10.30065634,A,H_10,06/07/17
10_H_M_1,-6.508957423,M,H_10,30/06/17
11_G_O_1,-0.113214995,O,G_11,21/06/17
11_G_O_2,-1.678660413,O,G_11,01/07/17
11_J_A_1,-6.776672399,A,J_11,29/06/17
11_J_A_2,-6.068067589,A,J_11,29/06/17
11_J_M_1,-4.452799371,M,J_11,30/06/17
11_J_M_2,-5.340196176,M,J_11,30/06/17
11_O_M_1,-7.12662748,M,O_11,12/07/17
11_O_M_2,-7.472212345,M,O_11,12/07/17
12_J_A_1,-4.680369414,A,J_12,29/06/17
12_J_A_2,-5.33424238,A,J_12,06/07/17
12_J_M_1,-3.336384817,M,J_12,06/07/17
12_J_M_2,-4.17644456,M,J_12,12/07/17
12_M_A_1,-5.971164255,A,M_12,29/06/17
12_M_A_2,-3.740251095,A,M_12,29/06/17
12_Q_A_1,-3.39701512,A,Q_12,13/07/17
12_R_A_1,-6.405847108,A,R_12,06/07/17
12_R_A_2,-4.439183748,A,R_12,20/07/17
13_A_M_1,-5.122476135,M,A_13,21/06/17
13_C_A_1,-4.604346296,A,C_13,29/06/17
13_C_A_2,-5.074666046,A,C_13,29/06/17
13_D_M_1,-4.903699896,M,D_13,21/06/17
13_D_M_2,-7.473040154,M,D_13,21/06/17
13_E_M_1,-4.385581533,M,E_13,21/06/17
13_E_M_2,-2.831773797,M,E_13,06/07/17
13_E_O_1,-1.486628088,O,E_13,07/06/17
13_E_O_2,-2.054541622,O,E_13,14/06/17
13_F_M_1,-4.100131077,M,F_13,07/06/17
13_F_M_2,-6.376667052,M,F_13,14/06/17
13_G_M_1,-4.426749735,M,G_13,30/06/17
13_J_A_1,-5.394604714,A,J_13,29/06/17
13_J_A_2,-5.885791814,A,J_13,29/06/17
13_J_M_1,-5.976314111,M,J_13,30/06/17
13_J_M_2,-6.083975361,M,J_13,30/06/17
14_A_A_1,-5.803056278,A,A_14,07/06/17
14_C_A_1,-7.470986865,A,C_14,21/06/17
14_D_O_1,-9.669784587,O,D_14,14/06/17
14_F_A_1,-5.965830368,A,F_14,14/06/17
14_F_A_2,-5.948807765,A,F_14,14/06/17
14_F_M_1,-6.266287363,M,F_14,21/06/17
14_F_M_2,-4.776268523,M,F_14,21/06/17
14_F_O_1,-4.259797118,O,F_14,01/07/17
14_F_O_2,-2.506517428,O,F_14,01/07/17
14_F_O_3,-3.220411345,O,F_14,13/07/17
14_K_A_1,-4.336496879,A,K_14,29/06/17
14_K_A_2,-5.635680729,A,K_14,29/06/17
14_L_M_1,-3.614515326,M,L_14,21/06/17
14_L_M_2,-4.283006239,M,L_14,21/06/17
15_C_A_1,-5.833565265,A,C_15,21/06/17
15_C_A_2,-5.438880941,A,C_15,29/06/17
15_F_A_1,-6.684842142,A,F_15,21/06/17
15_F_A_2,-6.261651061,A,F_15,29/06/17
15_F_M_1,-7.445893327,M,F_15,07/06/17
15_F_M_2,-6.687266387,M,F_15,14/06/17
15_F_M_3,-2.028972175,M,F_15,30/06/17
15_G_A_1,-5.875178843,A,G_15,21/06/17
15_G_A_2,-7.114591161,A,G_15,29/06/17
15_G_A_3,-4.64591935,A,G_15,13/07/17
15_G_M_1,-6.860810322,M,G_15,21/06/17
15_G_M_2,-8.869151152,M,G_15,21/06/17
15_G_O_1,-7.923193953,O,G_15,01/07/17
15_G_O_2,-5.437764188,O,G_15,01/07/17
15_H_M_1,-4.675004518,M,H_15,30/06/17
15_H_M_2,-2.540726702,M,H_15,06/07/17
15_H_O_1,-1.966101195,O,H_15,21/06/17
15_H_O_2,-2.844086687,O,H_15,01/07/17
15_J_A_1,-5.751031435,A,J_15,13/07/17
15_J_A_2,-6.13963178,A,J_15,13/07/17
15_J_O_1,-3.698077234,O,J_15,01/07/17
15_J_O_2,-3.333900484,O,J_15,01/07/17
15_L_M_1,-5.942635564,M,L_15,30/06/17
15_L_M_2,-5.938757924,M,L_15,30/06/17
15_R_M_1,-4.933189903,M,R_15,12/07/17
16_E_A_1,-5.51092104,A,E_16,13/07/17
16_E_M_1,-4.520105868,M,E_16,21/06/17
16_E_M_2,-5.765824362,M,E_16,21/06/17
16_E_M_3,-5.830865426,M,E_16,30/06/17
16_E_O_1,-4.364279789,O,E_16,01/07/17
16_E_O_2,-3.141986879,O,E_16,01/07/17
16_H_M_1,-6.250702429,M,H_16,21/06/17
16_H_M_2,-5.908117808,M,H_16,30/06/17
16_L_O_1,-1.885963477,O,L_16,01/07/17
16_L_O_2,-3.435982742,O,L_16,01/07/17
17_A_M_1,-4.140196366,M,A_17,26/05/17
17_B_A_1,-2.684203179,A,B_17,07/06/17
17_B_A_2,-2.536026989,A,B_17,07/06/17
17_B_M_1,-0.091793573,M,B_17,14/06/17
17_B_M_2,-1.068109068,M,B_17,14/06/17
17_B_M_3,-0.850492985,M,B_17,21/06/17
17_B_O_1,0.873482205,O,B_17,30/05/17
17_B_O_2,0.794547038,O,B_17,07/06/17
17_C_A_1,-5.02571206,A,C_17,14/06/17
17_C_A_2,-6.724106345,A,C_17,21/06/17
17_C_M_1,-2.306535288,M,C_17,30/06/17
17_C_M_2,-3.827573338,M,C_17,30/06/17
17_C_O_1,-4.85439256,O,C_17,14/06/17
17_C_O_2,-2.340987713,O,C_17,14/06/17
17_F_A_1,-7.127247831,A,F_17,29/06/17
17_F_A_2,-5.971250096,A,F_17,29/06/17
17_F_A_3,-4.971238645,A,F_17,13/07/17
17_N_A_1,-6.794012088,A,N_17,06/07/17
17_N_A_2,-6.491006403,A,N_17,20/07/17
17_N_M_1,-5.727701713,M,N_17,30/06/17
17_N_M_2,-5.133531133,M,N_17,30/06/17
17_N_O_1,-1.982808139,O,N_17,01/07/17
17_N_O_2,-3.144598039,O,N_17,06/07/17
18_C_M_1,-3.198330448,M,C_18,30/06/17
18_C_M_2,-7.702951948,M,C_18,12/07/17
18_D_A_1,-6.378499069,A,D_18,14/06/17
18_D_A_2,-7.216305283,A,D_18,21/06/17
18_D_M_1,-6.511383089,M,D_18,14/06/17
18_D_M_2,-6.900186564,M,D_18,14/06/17
18_D_O_1,-1.040546923,O,D_18,01/07/17
18_D_O_2,-2.924157648,O,D_18,06/07/17
18_E_O_1,-5.717968511,O,E_18,21/06/17
18_H_A_1,-3.953389678,A,H_18,13/07/17
18_H_A_2,-4.125708133,A,H_18,13/07/17
18_H_M_1,-5.142615828,M,H_18,30/06/17
18_H_M_2,-4.183335818,M,H_18,30/06/17
18_H_O_1,-2.177415395,O,H_18,21/06/17
18_H_O_2,-1.84341863,O,H_18,21/06/17
18_I_A_1,-6.441136875,A,I_18,06/07/17
18_I_A_2,-1.92188504,A,I_18,13/07/17
18_I_M_1,-4.614066635,M,I_18,30/06/17
18_I_M_2,-3.06424955,M,I_18,30/06/17
18_J_A_1,-5.041772874,A,J_18,29/06/17
18_J_A_2,-3.964177169,A,J_18,29/06/17
18_K_M_1,-5.114148653,M,K_18,30/06/17
18_K_M_2,-6.013968502,M,K_18,12/07/17
18_M_O_1,-4.186011841,O,M_18,01/07/17
18_O_O_1,-3.524914769,O,O_18,13/07/17
18_O_O_2,-3.291702315,O,O_18,13/07/17
19_A_O_1,-4.408779645,O,A_19,30/05/17
19_A_O_2,-7.231869726,O,A_19,14/06/17
19_I_O_1,-4.413034472,O,I_19,14/06/17
19_I_O_2,-1.031014961,O,I_19,01/07/17
19_I_O_3,-1.937843841,O,I_19,01/07/17
19_J_O_1,-0.747138059,O,J_19,01/07/17
19_J_O_2,-2.121317912,O,J_19,06/07/17
19_R_A_1,-6.101932088,A,R_19,06/07/17
19_R_A_2,-4.050591978,A,R_19,20/07/17
2_E_O_2,-2.77647596,O,E_2,13/07/17
2_F_A_1,-4.81009725,A,F_2,06/07/17
2_F_A_2,-4.88703397,A,F_2,06/07/17
2_F_M_1,-4.214629222,M,F_2,07/06/17
2_F_M_2,-4.460388227,M,F_2,07/06/17
2_F_O_1,-2.83170514,O,F_2,13/07/17
2_G_M_1,-7.664578482,M,G_2,14/06/17
2_J_M_1,-4.717930348,M,J_2,20/07/17
2_J_M_2,-5.904907738,M,J_2,20/07/17
2_J_O_1,-4.766051319,O,J_2,01/07/17
2_J_O_2,-2.944086601,O,J_2,20/07/17
2_K_M_1,-7.407558961,M,K_2,30/06/17
2_L_A_1,-4.039610907,A,L_2,13/07/17
2_L_A_2,-3.929969837,A,L_2,13/07/17
2_L_M_2,-5.236395877,M,L_2,12/07/17
2_N_A_1,-4.516397025,A,N_2,29/06/17
2_N_A_2,-3.667854815,A,N_2,29/06/17
2_P_A_1,-5.180682701,A,P_2,29/06/17
2_P_A_2,-5.594812908,A,P_2,06/07/17
2_P_M_1,-2.485483212,M,P_2,06/07/17
2_P_M_2,-4.719541105,M,P_2,12/07/17
2_P_O_1,-2.23656754,O,P_2,13/07/17
2_P_O_2,-1.021180668,O,P_2,20/07/17
2_T_M_1,0.169964277,M,T_2,20/07/17
2_T_O_1,0.444535689,O,T_2,20/07/17
2_T_O_2,-3.440033486,O,T_2,20/07/17
20_A_A_1,-6.221219097,A,A_20,07/06/17
20_D_A_1,-5.707167183,A,D_20,21/06/17
20_D_O_1,-2.400282423,O,D_20,07/06/17
20_D_O_2,-3.046309507,O,D_20,14/06/17
20_D_O_3,-1.42322781,O,D_20,01/07/17
20_F_M_1,-3.89379456,M,F_20,30/06/17
20_F_M_2,-2.77312806,M,F_20,30/06/17
20_F_M_3,-4.798687485,M,F_20,30/06/17
20_K_A_1,-5.022959279,A,K_20,29/06/17
20_K_A_2,-5.506052523,A,K_20,20/07/17
20_K_M_1,-5.943096673,M,K_20,20/07/17
20_L_A_1,-4.433800742,A,L_20,29/06/17
20_L_A_2,-3.192017602,A,L_20,29/06/17
20_L_M_1,-6.256966614,M,L_20,30/06/17
20_L_M_2,-6.27363065,M,L_20,12/07/17
20_R_A_1,-5.759044208,A,R_20,06/07/17
21_A_A_1,-6.148612062,A,A_21,07/06/17
21_D_O_1,-5.467361005,O,D_21,14/06/17
21_D_O_2,-4.60175565,O,D_21,14/06/17
21_F_M_1,-4.133339448,M,F_21,30/06/17
21_F_M_2,-3.873334435,M,F_21,30/06/17
21_H_A_1,-5.573597942,A,H_21,29/06/17
21_H_A_2,-5.572808302,A,H_21,29/06/17
21_H_O_1,-2.417825724,O,H_21,13/07/17
21_H_O_2,-5.907305291,O,H_21,20/07/17
21_K_M_1,-4.189741648,M,K_21,30/06/17
21_K_M_2,-2.391009377,M,K_21,06/07/17
21_L_A_1,-5.935796782,A,L_21,29/06/17
21_L_A_2,-6.888689064,A,L_21,29/06/17
21_L_O_1,-3.200573002,O,L_21,01/07/17
21_L_O_2,-3.574515377,O,L_21,01/07/17
21_P_A_1,-5.43186334,A,P_21,13/07/17
21_P_A_2,-4.61345151,A,P_21,13/07/17
21_R_A_1,-3.289553195,A,R_21,13/07/17
21_R_A_2,-4.251837288,A,R_21,20/07/17
21_R_O_1,-1.699757133,O,R_21,20/07/17
21_R_O_2,-2.717796838,O,R_21,20/07/17
22_A_O_1,-2.05278352,O,A_22,30/05/17
22_A_O_2,-1.884796164,O,A_22,21/06/17
22_B_M_1,-5.91125158,M,B_22,21/06/17
22_B_O_1,-2.120846305,O,B_22,30/05/17
22_B_O_2,-2.880090734,O,B_22,21/06/17
22_C_A_1,-5.898974925,A,C_22,21/06/17
22_C_A_2,-5.10984185,A,C_22,21/06/17
22_D_A_1,-5.964977315,A,D_22,14/06/17
22_D_M_2,-4.818217317,M,D_22,20/07/17
22_F_A_1,-5.372252499,A,F_22,14/06/17
22_F_A_2,-4.952739744,A,F_22,14/06/17
23_A_A_1,-7.759838142,A,A_23,07/06/17
23_A_A_2,-7.912753142,A,A_23,07/06/17
23_A_M_1,-9.214472331,M,A_23,26/05/17
23_A_M_2,-5.956108598,M,A_23,07/06/17
23_C_A_1,-4.569586771,A,C_23,29/06/17
23_C_A_2,-5.318424246,A,C_23,29/06/17
23_C_A_3,-5.270928898,A,C_23,29/06/17
23_C_M_1,-6.528385673,M,C_23,07/06/17
23_C_M_2,-3.638924169,M,C_23,21/06/17
23_E_M_1,-3.85138372,M,E_23,30/06/17
23_H_A_1,-5.017152343,A,H_23,14/06/17
23_H_A_2,-8.263083013,A,H_23,21/06/17
23_H_O_1,-5.030342142,O,H_23,01/07/17
23_H_O_2,-5.931127587,O,H_23,01/07/17
23_K_A_1,-5.360996769,A,K_23,29/06/17
23_K_A_2,-6.787277728,A,K_23,13/07/17
23_K_O_1,6.372909513,O,K_23,01/07/17
23_K_O_2,7.373648133,O,K_23,01/07/17
24_B_O_1,-2.76735738,O,B_24,30/05/17
24_B_O_2,-5.25547522,O,B_24,21/06/17
24_G_A_1,-5.335320041,A,G_24,29/06/17
24_G_A_2,-5.114400418,A,G_24,06/07/17
24_G_M_1,-4.987801597,M,G_24,21/06/17
24_G_M_2,-4.247186697,M,G_24,21/06/17
24_G_O_1,-2.590106028,O,G_24,01/07/17
24_G_O_2,-3.008133903,O,G_24,01/07/17
24_H_M_1,-7.003744638,M,H_24,30/06/17
25_B_M_1,-2.5580726,M,B_25,21/06/17
25_F_O_1,-1.773914835,O,F_25,21/06/17
25_F_O_2,-0.443417113,O,F_25,20/07/17
25_M_O_1,-15.3254446,O,M_25,06/07/17
25_R_O_1,-2.919380222,O,R_25,13/07/17
26_J_M_1,-4.289636176,M,J_26,30/06/17
26_J_M_2,-3.831863442,M,J_26,06/07/17
